"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","search for fruits","webkit","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","21","profile","firefox","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
"","7085","login and save auth","webkit","2026-05-26","passed","2026-05-26","jio mart test","example.spec.js","",""
"","21","profile","webkit","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
"","21471","profile","firefox","2026-05-26","passed","2026-05-26","jio mart test > after login tests","example.spec.js","",""
"","13","search for fruits","chromium","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","17","profile","chromium","2026-05-26","failed","2026-05-26","jio mart test","example.spec.js","",""
"","8721","login and save auth","chromium","2026-05-26","passed","2026-05-26","jio mart test","example.spec.js","",""
"","5823","profile","webkit","2026-05-26","passed","2026-05-26","jio mart test > after login tests","example.spec.js","",""
"","7872","profile","chromium","2026-05-26","passed","2026-05-26","jio mart test > after login tests","example.spec.js","",""
"","9","search for fruits","firefox","2026-05-26","skipped","2026-05-26","jio mart test","example.spec.js","",""
"","23000","login and save auth","firefox","2026-05-26","passed","2026-05-26","jio mart test","example.spec.js","",""
